train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
 0.6890434027,  0.6925417185,  0.6918095946,  0.53284967,  0.53260884,  0.52891502,  0.52910046,  0.52545304,  0.52665851
 0.6856144071,  0.6859328151,  0.6963554621,  0.55645398,  0.55792061,  0.55517729,  0.55653674,  0.51986886,  0.52137878
 0.6841906309,  0.6857189536,  0.6984595656,  0.55543659,  0.55708907,  0.55332036,  0.55477783,  0.51741903,  0.51880963
 0.6846643686,  0.6857451200,  0.6975295544,  0.55578757,  0.55732534,  0.55460253,  0.55592468,  0.51896819,  0.52043268
 0.6844601631,  0.6856898069,  0.6978479624,  0.55580534,  0.55735718,  0.55424883,  0.55556201,  0.51889613,  0.52035095
 0.6844046712,  0.6855814457,  0.6982377768,  0.55523222,  0.55689856,  0.55274560,  0.55417993,  0.51713081,  0.51851685
 0.6850258708,  0.6855925322,  0.6986823082,  0.55493900,  0.55661059,  0.55283403,  0.55419635,  0.51677054,  0.51817151
 0.6845787168,  0.6855495572,  0.6981791854,  0.55506784,  0.55672435,  0.55252454,  0.55392651,  0.51705876,  0.51846307
 0.6842911243,  0.6855165362,  0.6982883215,  0.55513004,  0.55678469,  0.55287824,  0.55428394,  0.51716684,  0.51857056
 0.6842796803,  0.6855586171,  0.6979402900,  0.55556543,  0.55719505,  0.55323194,  0.55471362,  0.51756314,  0.51896118
 0.6842762232,  0.6855604053,  0.6981173754,  0.55524555,  0.55690749,  0.55239190,  0.55379480,  0.51727492,  0.51868713
